,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
13,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1,1,4,175.0,3,21,True,0,0,4.75,False,87.5,525.0,0.06,0.14,0.19,4.99,0.4328767123287671,761.7123287671233
14,168769,0.65,True,Centrum-West,52.37956,4.89359,Private room,1,1,1,3,88.0,3,1124,True,0,0,4.58,True,88.0,264.0,0.04,0.07,0.18,4.99,0.0,439.24657534246575
15,169356,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1,1,11,195.0,7,7,True,0,0,5.0,False,97.5,1365.0,0.06,0.13,0.21,4.99,0.1780821917808219,975.0
16,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2,2,10,270.0,21,100,True,6,0,4.5,True,90.0,5670.0,0.08,0.21,0.28,4.99,0.1506849315068493,1476.164383561644
17,214531,0.5,True,Centrum-West,52.37169,4.89446,Private room,3,1,2,5,115.0,3,50,True,0,0,4.83,False,38.33,345.0,0.1,0.13,0.18,4.99,0.0,620.7671232876712
18,222516,1.0,False,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1,1,8,119.0,7,21,True,0,1,4.71,False,59.5,833.0,0.07,0.15,0.2,4.99,0.0,606.6438356164383
19,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2,2,16,385.0,4,30,True,0,0,4.89,False,96.25,1540.0,0.06,0.23,0.16,4.99,0.4520547945205479,1917.7945205479452
20,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1,1,5,88.0,4,30,True,0,0,4.85,False,44.0,352.0,0.05,0.1,0.18,4.99,0.0,439.24657534246575
21,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,2,2,1,130.0,4,21,True,0,1,4.75,False,32.5,520.0,0.06,0.14,0.18,4.99,0.7013698630136986,650.0
22,291752,0.6,False,Oud-Oost,52.35179,4.91082,Private room,2,1,1,2,105.0,3,1125,True,1,0,4.86,False,52.5,315.0,0.06,0.17,0.16,4.99,0.7945205479452054,523.4931506849315
23,304143,1.0,False,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1,1,6,95.0,3,30,True,0,0,4.55,False,47.5,285.0,0.04,0.1,0.17,4.99,0.0,475.0
24,306852,0.79,False,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2,2,7,200.0,4,21,True,0,2,4.61,False,50.0,800.0,0.07,0.24,0.2,4.99,0.08493150684931507,1000.0
25,307621,0.51,False,Centrum-Oost,52.35871,4.89616,Entire home/apt,2,1,1,7,125.0,3,21,True,0,0,4.5,False,62.5,375.0,0.08,0.2,0.18,4.99,0.0,625.0
26,308028,0.55,False,Centrum-Oost,52.35972,4.8975,Private room,2,1,1,8,95.0,3,10,True,0,0,4.77,False,47.5,285.0,0.06,0.15,0.14,4.99,0.0,475.0
27,311124,0.38,False,Centrum-West,52.37104,4.87713,Entire home/apt,2,1,1,10,225.0,5,15,True,0,1,4.75,False,112.5,1125.0,0.06,0.13,0.17,4.99,0.8684931506849315,1127.7397260273972
28,367107,0.0,False,Centrum-Oost,52.36263,4.90216,Entire home/apt,2,1,1,11,182.0,5,30,True,5,0,5.0,False,91.0,910.0,0.06,0.19,0.2,4.99,0.07397260273972603,910.6164383561644
29,367491,1.0,False,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,2,1,1,9,174.0,3,19,True,0,0,4.91,False,87.0,522.0,0.08,0.17,0.21,4.99,0.0,847.2328767123288
30,379885,0.64,False,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,2,1,1,13,297.0,3,180,True,5,1,4.66,True,148.5,891.0,0.11,0.13,0.2,4.99,0.2219178082191781,1422.958904109589
